action_conflict_pixel_count,action_id,closure_failure_reason,closure_status,development_family_ids,development_observation_count,effective_informative_stable_mass,informative_pixel_count,mask_payload_digest,prototype_present,row_id,stable_pixel_count
109,FIRE,,closed,"[""development_photometric"", ""development_shift""]",2,47088,109,sha256:7b836400490e61bbda9a740720e815e049c9c29d5a45cdda1bffa6d7fef1e4f1,True,tank=0|target=0|cooldown=0,432
109,STAY,,closed,"[""development_photometric"", ""development_shift""]",2,47088,109,sha256:a08963b3925911b43609b47a188224a3543ad86c9f867e1b7c5239ee22c5c6f2,True,tank=0|target=0|cooldown=1,432
109,RIGHT,,closed,"[""development_photometric"", ""development_shift""]",2,47088,109,sha256:1ecf41b75fa4bbcd603c3d0169fdb9a430bf0d605b6ceeddfb07d9352386ceeb,True,tank=0|target=1|cooldown=0,432
109,RIGHT,,closed,"[""development_photometric"", ""development_shift""]",2,47088,109,sha256:3c4c85e2708d97f8c1d284fabcae2d3c01d636e41de0fef891328fb79a3b8993,True,tank=0|target=1|cooldown=1,432
109,RIGHT,,closed,"[""development_photometric"", ""development_shift""]",2,47088,109,sha256:b7b8eb726ac81daeeb07c959469169f7943fd8ac0704e787fd9b99f9088a716c,True,tank=0|target=2|cooldown=0,432
109,RIGHT,,closed,"[""development_photometric"", ""development_shift""]",2,47088,109,sha256:a64b5bf576491a6777c77dd1e7a16380246030e8492cf36a6148d41a86892f74,True,tank=0|target=2|cooldown=1,432
109,RIGHT,,closed,"[""development_photometric"", ""development_shift""]",2,47088,109,sha256:f7cc7289587618afedd444262292d109a292c7c6538926e0f0a8014e03d7cc52,True,tank=0|target=3|cooldown=0,432
109,RIGHT,,closed,"[""development_photometric"", ""development_shift""]",2,47088,109,sha256:7c9cb6acb89fb30c2ac3dbd0ccfec8c75c2c8313e6fb81afd2b7357c13c5c8c7,True,tank=0|target=3|cooldown=1,432
109,RIGHT,,closed,"[""development_photometric"", ""development_shift""]",2,47088,109,sha256:920338ffb605bf20aa3a2ead1bd19c646068615f9ea575916ecfcc5ad27dfb1f,True,tank=0|target=4|cooldown=0,432
109,RIGHT,,closed,"[""development_photometric"", ""development_shift""]",2,47088,109,sha256:a2ee14fabe2bd86f18e704328086aa567abe3a0b7dbd6d9d54fabfe9200e002f,True,tank=0|target=4|cooldown=1,432
109,RIGHT,,closed,"[""development_photometric"", ""development_shift""]",2,47088,109,sha256:0c0a14dc6c306376ea42b66f5e121b1b00837e58aced655c10104e6210508229,True,tank=0|target=5|cooldown=0,432
109,RIGHT,,closed,"[""development_photometric"", ""development_shift""]",2,47088,109,sha256:678119d1b6542ee8286e3becac363e58d79c52ea00e54f6aacf82b38ef380924,True,tank=0|target=5|cooldown=1,432
109,RIGHT,,closed,"[""development_photometric"", ""development_shift""]",2,47306,109,sha256:99924628c9f7a1424a1c7b502b1fd4167b4218bacf1a4558ddee219ffc1f2335,True,tank=0|target=6|cooldown=0,434
109,RIGHT,,closed,"[""development_photometric"", ""development_shift""]",2,47306,109,sha256:5f25cbdcbec6594b21889b9e0f5fc1ace9cc52e3dc789fdba3d1cf121fbb860a,True,tank=0|target=6|cooldown=1,434
109,STAY,,closed,"[""development_photometric"", ""development_shift""]",2,47742,109,sha256:e9e78faa4944d92f8a4c98c5c913741b3a39dff5c9413550275bd466d39c8960,True,tank=0|target=none|cooldown=0,438
109,STAY,,closed,"[""development_photometric"", ""development_shift""]",2,47742,109,sha256:9d9fd4024763578182d44cbe3a423e7c29203724b3675f773b5943fec7585719,True,tank=0|target=none|cooldown=1,438
109,LEFT,,closed,"[""development_photometric"", ""development_shift""]",2,47088,109,sha256:c7e0790bcf24be4321b555d22caf0189761bd189c411cca4731a66665116f285,True,tank=1|target=0|cooldown=0,432
109,LEFT,,closed,"[""development_photometric"", ""development_shift""]",2,47088,109,sha256:5de1427120c27f328d3e1415a692658ea0e79575a152587a86157ab814fbef59,True,tank=1|target=0|cooldown=1,432
109,FIRE,,closed,"[""development_photometric"", ""development_shift""]",2,47088,109,sha256:079fdf07ef61da3dbe792b43afc22d3ca8e86dc4e2216a52944b85741fe1c77e,True,tank=1|target=1|cooldown=0,432
109,STAY,,closed,"[""development_photometric"", ""development_shift""]",2,47088,109,sha256:3e32b59e0a13e7211ac50c700c87fb569179ee25a80714e9016b57b24c8627a1,True,tank=1|target=1|cooldown=1,432
