action_id,cross_region_joint_unique,full_frame_unique,individual_pixel_unique,pairwise_region_feature_unique,region_joint_unique,row_id
FIRE,True,True,False,False,False,tank=0|target=0|cooldown=0
STAY,True,True,False,False,False,tank=0|target=0|cooldown=1
RIGHT,True,True,False,False,False,tank=0|target=1|cooldown=0
RIGHT,True,True,False,False,False,tank=0|target=1|cooldown=1
RIGHT,True,True,False,False,False,tank=0|target=2|cooldown=0
RIGHT,True,True,False,False,False,tank=0|target=2|cooldown=1
RIGHT,True,True,False,False,False,tank=0|target=3|cooldown=0
RIGHT,True,True,False,False,False,tank=0|target=3|cooldown=1
RIGHT,True,True,False,False,False,tank=0|target=4|cooldown=0
RIGHT,True,True,False,False,False,tank=0|target=4|cooldown=1
RIGHT,True,True,False,False,False,tank=0|target=5|cooldown=0
RIGHT,True,True,False,False,False,tank=0|target=5|cooldown=1
RIGHT,True,True,False,False,False,tank=0|target=6|cooldown=0
RIGHT,True,True,False,False,False,tank=0|target=6|cooldown=1
STAY,True,True,False,False,False,tank=0|target=none|cooldown=0
STAY,True,True,False,False,False,tank=0|target=none|cooldown=1
LEFT,True,True,False,False,False,tank=1|target=0|cooldown=0
LEFT,True,True,False,False,False,tank=1|target=0|cooldown=1
FIRE,True,True,False,False,False,tank=1|target=1|cooldown=0
STAY,True,True,False,False,False,tank=1|target=1|cooldown=1
RIGHT,True,True,False,False,False,tank=1|target=2|cooldown=0
RIGHT,True,True,False,False,False,tank=1|target=2|cooldown=1
RIGHT,True,True,False,False,False,tank=1|target=3|cooldown=0
RIGHT,True,True,False,False,False,tank=1|target=3|cooldown=1
RIGHT,True,True,False,False,False,tank=1|target=4|cooldown=0
RIGHT,True,True,False,False,False,tank=1|target=4|cooldown=1
RIGHT,True,True,False,False,False,tank=1|target=5|cooldown=0
RIGHT,True,True,False,False,False,tank=1|target=5|cooldown=1
RIGHT,True,True,False,False,False,tank=1|target=6|cooldown=0
RIGHT,True,True,False,False,False,tank=1|target=6|cooldown=1
STAY,True,True,False,False,False,tank=1|target=none|cooldown=0
STAY,True,True,False,False,False,tank=1|target=none|cooldown=1
LEFT,True,True,False,False,False,tank=2|target=0|cooldown=0
LEFT,True,True,False,False,False,tank=2|target=0|cooldown=1
LEFT,True,True,False,False,False,tank=2|target=1|cooldown=0
LEFT,True,True,False,False,False,tank=2|target=1|cooldown=1
FIRE,True,True,False,False,False,tank=2|target=2|cooldown=0
STAY,True,True,False,False,False,tank=2|target=2|cooldown=1
RIGHT,True,True,False,False,False,tank=2|target=3|cooldown=0
RIGHT,True,True,False,False,False,tank=2|target=3|cooldown=1
RIGHT,True,True,False,False,False,tank=2|target=4|cooldown=0
RIGHT,True,True,False,False,False,tank=2|target=4|cooldown=1
RIGHT,True,True,False,False,False,tank=2|target=5|cooldown=0
RIGHT,True,True,False,False,False,tank=2|target=5|cooldown=1
RIGHT,True,True,False,False,False,tank=2|target=6|cooldown=0
RIGHT,True,True,False,False,False,tank=2|target=6|cooldown=1
STAY,True,True,False,False,False,tank=2|target=none|cooldown=0
STAY,True,True,False,False,False,tank=2|target=none|cooldown=1
LEFT,True,True,False,False,False,tank=3|target=0|cooldown=0
LEFT,True,True,False,False,False,tank=3|target=0|cooldown=1
LEFT,True,True,False,False,False,tank=3|target=1|cooldown=0
LEFT,True,True,False,False,False,tank=3|target=1|cooldown=1
LEFT,True,True,False,False,False,tank=3|target=2|cooldown=0
LEFT,True,True,False,False,False,tank=3|target=2|cooldown=1
FIRE,True,True,False,False,False,tank=3|target=3|cooldown=0
STAY,True,True,False,False,False,tank=3|target=3|cooldown=1
RIGHT,True,True,False,False,False,tank=3|target=4|cooldown=0
RIGHT,True,True,False,False,False,tank=3|target=4|cooldown=1
RIGHT,True,True,False,False,False,tank=3|target=5|cooldown=0
RIGHT,True,True,False,False,False,tank=3|target=5|cooldown=1
RIGHT,True,True,False,False,False,tank=3|target=6|cooldown=0
RIGHT,True,True,False,False,False,tank=3|target=6|cooldown=1
STAY,True,True,False,False,False,tank=3|target=none|cooldown=0
STAY,True,True,False,False,False,tank=3|target=none|cooldown=1
LEFT,True,True,False,False,False,tank=4|target=0|cooldown=0
LEFT,True,True,False,False,False,tank=4|target=0|cooldown=1
LEFT,True,True,False,False,False,tank=4|target=1|cooldown=0
LEFT,True,True,False,False,False,tank=4|target=1|cooldown=1
LEFT,True,True,False,False,False,tank=4|target=2|cooldown=0
LEFT,True,True,False,False,False,tank=4|target=2|cooldown=1
LEFT,True,True,False,False,False,tank=4|target=3|cooldown=0
LEFT,True,True,False,False,False,tank=4|target=3|cooldown=1
FIRE,True,True,False,False,False,tank=4|target=4|cooldown=0
STAY,True,True,False,False,False,tank=4|target=4|cooldown=1
RIGHT,True,True,False,False,False,tank=4|target=5|cooldown=0
RIGHT,True,True,False,False,False,tank=4|target=5|cooldown=1
RIGHT,True,True,False,False,False,tank=4|target=6|cooldown=0
RIGHT,True,True,False,False,False,tank=4|target=6|cooldown=1
STAY,True,True,False,False,False,tank=4|target=none|cooldown=0
STAY,True,True,False,False,False,tank=4|target=none|cooldown=1
LEFT,True,True,False,False,False,tank=5|target=0|cooldown=0
LEFT,True,True,False,False,False,tank=5|target=0|cooldown=1
LEFT,True,True,False,False,False,tank=5|target=1|cooldown=0
LEFT,True,True,False,False,False,tank=5|target=1|cooldown=1
LEFT,True,True,False,False,False,tank=5|target=2|cooldown=0
LEFT,True,True,False,False,False,tank=5|target=2|cooldown=1
LEFT,True,True,False,False,False,tank=5|target=3|cooldown=0
LEFT,True,True,False,False,False,tank=5|target=3|cooldown=1
LEFT,True,True,False,False,False,tank=5|target=4|cooldown=0
LEFT,True,True,False,False,False,tank=5|target=4|cooldown=1
FIRE,True,True,False,False,False,tank=5|target=5|cooldown=0
STAY,True,True,False,False,False,tank=5|target=5|cooldown=1
RIGHT,True,True,False,False,False,tank=5|target=6|cooldown=0
RIGHT,True,True,False,False,False,tank=5|target=6|cooldown=1
STAY,True,True,False,False,False,tank=5|target=none|cooldown=0
STAY,True,True,False,False,False,tank=5|target=none|cooldown=1
LEFT,True,True,False,False,False,tank=6|target=0|cooldown=0
LEFT,True,True,False,False,False,tank=6|target=0|cooldown=1
LEFT,True,True,False,False,False,tank=6|target=1|cooldown=0
LEFT,True,True,False,False,False,tank=6|target=1|cooldown=1
LEFT,True,True,False,False,False,tank=6|target=2|cooldown=0
LEFT,True,True,False,False,False,tank=6|target=2|cooldown=1
LEFT,True,True,False,False,False,tank=6|target=3|cooldown=0
LEFT,True,True,False,False,False,tank=6|target=3|cooldown=1
LEFT,True,True,False,False,False,tank=6|target=4|cooldown=0
