action_conflict_count,action_id,contradiction_pixels_informative_but_zero_weight,maximum_competitor_difference_digest,nearest_competitor_difference_digest,nearest_conflicting_action_difference_digest,per_pixel_differing_digest,per_pixel_sharing_digest,positive_action_conflict_separation_count,positive_separation_weight_count,row_id,row_informative_pixel_count,row_informative_stable_count,row_informative_stable_positive_separation_count,stable_pixel_count
109,FIRE,109,sha256:62b88edef8814febfbbdd79896c4b02048ce77dfae34a93c378c642d3e7330dd,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:e66ed0379a19c8cb1097af0ed467ee78c79f2606f078fff0a507008684978bfd,sha256:783c3dc3ec30b4b682d9a80bb207048ee95c61b072b4f0051966d37bf0fba2b7,0,0,tank=0|target=0|cooldown=0,109,100,0,432
109,STAY,109,sha256:62b88edef8814febfbbdd79896c4b02048ce77dfae34a93c378c642d3e7330dd,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:e66ed0379a19c8cb1097af0ed467ee78c79f2606f078fff0a507008684978bfd,sha256:783c3dc3ec30b4b682d9a80bb207048ee95c61b072b4f0051966d37bf0fba2b7,0,0,tank=0|target=0|cooldown=1,109,100,0,432
109,RIGHT,109,sha256:62b88edef8814febfbbdd79896c4b02048ce77dfae34a93c378c642d3e7330dd,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:171310b49305364b04aac537f55c60a9a7e97262ea24848d72466d7a0e5e99c1,sha256:f7d01eec3f42848634aa2603f106a93a678abb761edbe843e105fd99cd2e7483,0,0,tank=0|target=1|cooldown=0,109,100,0,432
109,RIGHT,109,sha256:62b88edef8814febfbbdd79896c4b02048ce77dfae34a93c378c642d3e7330dd,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:171310b49305364b04aac537f55c60a9a7e97262ea24848d72466d7a0e5e99c1,sha256:f7d01eec3f42848634aa2603f106a93a678abb761edbe843e105fd99cd2e7483,0,0,tank=0|target=1|cooldown=1,109,100,0,432
109,RIGHT,109,sha256:62b88edef8814febfbbdd79896c4b02048ce77dfae34a93c378c642d3e7330dd,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:e3dd5e49eb645f61933ea5a3b36326e3b89e13153553da46bff4c858b1555c5e,sha256:886f86821229de7c0680f779b83fb252c975c7987bf180e1b94ec1764eaa6abd,0,0,tank=0|target=2|cooldown=0,109,100,0,432
109,RIGHT,109,sha256:62b88edef8814febfbbdd79896c4b02048ce77dfae34a93c378c642d3e7330dd,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:e3dd5e49eb645f61933ea5a3b36326e3b89e13153553da46bff4c858b1555c5e,sha256:886f86821229de7c0680f779b83fb252c975c7987bf180e1b94ec1764eaa6abd,0,0,tank=0|target=2|cooldown=1,109,100,0,432
109,RIGHT,109,sha256:62b88edef8814febfbbdd79896c4b02048ce77dfae34a93c378c642d3e7330dd,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:b9863636941c97488ded86be57feb3a0e4d411ce8766686aad5d10f6a39edc68,sha256:5235b3d9069fda022964148ea0b53a2f0acaca367326e4cef19dd0095ac19ecc,0,0,tank=0|target=3|cooldown=0,109,100,0,432
109,RIGHT,109,sha256:62b88edef8814febfbbdd79896c4b02048ce77dfae34a93c378c642d3e7330dd,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:b9863636941c97488ded86be57feb3a0e4d411ce8766686aad5d10f6a39edc68,sha256:5235b3d9069fda022964148ea0b53a2f0acaca367326e4cef19dd0095ac19ecc,0,0,tank=0|target=3|cooldown=1,109,100,0,432
109,RIGHT,109,sha256:62b88edef8814febfbbdd79896c4b02048ce77dfae34a93c378c642d3e7330dd,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:cf1c2e701576941de3a51f18de16540391a4d02e740014458e945d7fd933edd3,sha256:c2ec1ad282b29f456aca15813e52ca70fa8039a75fd4d1304c5503e644b59f44,0,0,tank=0|target=4|cooldown=0,109,100,0,432
109,RIGHT,109,sha256:62b88edef8814febfbbdd79896c4b02048ce77dfae34a93c378c642d3e7330dd,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:cf1c2e701576941de3a51f18de16540391a4d02e740014458e945d7fd933edd3,sha256:c2ec1ad282b29f456aca15813e52ca70fa8039a75fd4d1304c5503e644b59f44,0,0,tank=0|target=4|cooldown=1,109,100,0,432
