action_id,reachable_row_count,reachable_row_ids,source_row_id,status
LEFT,10,"[""tank=0|target=0|cooldown=0"", ""tank=0|target=0|cooldown=1"", ""tank=0|target=1|cooldown=1"", ""tank=0|target=2|cooldown=1"", ""tank=0|target=3|cooldown=1"", ""tank=0|target=4|cooldown=1"", ""tank=0|target=5|cooldown=1"", ""tank=0|target=6|cooldown=1"", ""tank=0|target=none|cooldown=1"", ""tank=1|target=0|cooldown=0""]",tank=0|target=0|cooldown=0,known_reachable_set
RIGHT,10,"[""tank=0|target=0|cooldown=0"", ""tank=0|target=0|cooldown=1"", ""tank=0|target=1|cooldown=1"", ""tank=0|target=2|cooldown=1"", ""tank=0|target=3|cooldown=1"", ""tank=0|target=4|cooldown=1"", ""tank=0|target=5|cooldown=1"", ""tank=0|target=6|cooldown=1"", ""tank=0|target=none|cooldown=1"", ""tank=1|target=0|cooldown=0""]",tank=0|target=0|cooldown=0,known_reachable_set
STAY,10,"[""tank=0|target=0|cooldown=0"", ""tank=0|target=0|cooldown=1"", ""tank=0|target=1|cooldown=1"", ""tank=0|target=2|cooldown=1"", ""tank=0|target=3|cooldown=1"", ""tank=0|target=4|cooldown=1"", ""tank=0|target=5|cooldown=1"", ""tank=0|target=6|cooldown=1"", ""tank=0|target=none|cooldown=1"", ""tank=1|target=0|cooldown=0""]",tank=0|target=0|cooldown=0,known_reachable_set
FIRE,10,"[""tank=0|target=0|cooldown=0"", ""tank=0|target=0|cooldown=1"", ""tank=0|target=1|cooldown=1"", ""tank=0|target=2|cooldown=1"", ""tank=0|target=3|cooldown=1"", ""tank=0|target=4|cooldown=1"", ""tank=0|target=5|cooldown=1"", ""tank=0|target=6|cooldown=1"", ""tank=0|target=none|cooldown=1"", ""tank=1|target=0|cooldown=0""]",tank=0|target=0|cooldown=0,known_reachable_set
LEFT,3,"[""tank=0|target=0|cooldown=0"", ""tank=0|target=0|cooldown=1"", ""tank=1|target=0|cooldown=0""]",tank=0|target=0|cooldown=1,known_reachable_set
RIGHT,3,"[""tank=0|target=0|cooldown=0"", ""tank=0|target=0|cooldown=1"", ""tank=1|target=0|cooldown=0""]",tank=0|target=0|cooldown=1,known_reachable_set
STAY,3,"[""tank=0|target=0|cooldown=0"", ""tank=0|target=0|cooldown=1"", ""tank=1|target=0|cooldown=0""]",tank=0|target=0|cooldown=1,known_reachable_set
FIRE,3,"[""tank=0|target=0|cooldown=0"", ""tank=0|target=0|cooldown=1"", ""tank=1|target=0|cooldown=0""]",tank=0|target=0|cooldown=1,known_reachable_set
LEFT,3,"[""tank=0|target=1|cooldown=0"", ""tank=0|target=1|cooldown=1"", ""tank=1|target=1|cooldown=0""]",tank=0|target=1|cooldown=0,known_reachable_set
RIGHT,3,"[""tank=0|target=1|cooldown=0"", ""tank=0|target=1|cooldown=1"", ""tank=1|target=1|cooldown=0""]",tank=0|target=1|cooldown=0,known_reachable_set
STAY,3,"[""tank=0|target=1|cooldown=0"", ""tank=0|target=1|cooldown=1"", ""tank=1|target=1|cooldown=0""]",tank=0|target=1|cooldown=0,known_reachable_set
FIRE,3,"[""tank=0|target=1|cooldown=0"", ""tank=0|target=1|cooldown=1"", ""tank=1|target=1|cooldown=0""]",tank=0|target=1|cooldown=0,known_reachable_set
LEFT,3,"[""tank=0|target=1|cooldown=0"", ""tank=0|target=1|cooldown=1"", ""tank=1|target=1|cooldown=0""]",tank=0|target=1|cooldown=1,known_reachable_set
RIGHT,3,"[""tank=0|target=1|cooldown=0"", ""tank=0|target=1|cooldown=1"", ""tank=1|target=1|cooldown=0""]",tank=0|target=1|cooldown=1,known_reachable_set
STAY,3,"[""tank=0|target=1|cooldown=0"", ""tank=0|target=1|cooldown=1"", ""tank=1|target=1|cooldown=0""]",tank=0|target=1|cooldown=1,known_reachable_set
FIRE,3,"[""tank=0|target=1|cooldown=0"", ""tank=0|target=1|cooldown=1"", ""tank=1|target=1|cooldown=0""]",tank=0|target=1|cooldown=1,known_reachable_set
LEFT,3,"[""tank=0|target=2|cooldown=0"", ""tank=0|target=2|cooldown=1"", ""tank=1|target=2|cooldown=0""]",tank=0|target=2|cooldown=0,known_reachable_set
